Model,CV Accuracy Mean,CV Accuracy Std,CV Precision Macro,CV Recall Macro,CV F1 Macro
SVM,0.9862068965517242,0.01689303270884948,0.9865384615384617,0.9877777777777779,0.9864815662344266
Logistic Regression,0.9790640394088669,0.027713464392187602,0.9789393939393939,0.9828282828282828,0.9796369712159185
Random Forest,0.9790640394088669,0.027713464392187602,0.9785185185185185,0.9828282828282828,0.9789226855016329
KNN,0.9507389162561577,0.035274169431002235,0.9525925925925925,0.959090909090909,0.9512477271610399
